Topic NO;NO Docs;Keywords
175;2;['westerham', 'wrotham', 'oxt', 'min', 'leigh', 'mall', 'semi', 'gelato', 'chalkwel', 'west']
177;2;['becket', 'relic', 'relic', 'becket', 'saint', 'becket’', 'canterburi', 'cathedr', 'maclehos', 'church']
181;2;['brew', 'breweri', 'schwaebl', 'beer', 'wadworth', 'breweri', 'brewpub', 'beer', 'ale', 'ahopalyps']
182;2;['bmx', 'mirra', 'bmx', 'cte', 'mirra', 'mirra’', 'fraga', 'mirra’', 'cte', 'robinson']
183;2;['chemic', 'chemic', 'warhurst', 'packag', 'vinyl', 'product', 'chlorid', 'hormon', 'formaldehyd', 'asbesto']
184;2;['benralizumab', 'zs9', 'astrazeneca', 'astrazeneca', 'asthma', 'zs', 'letter', 'drug', 'fda', 'pharma']
185;2;['o’farrel', 'claudett', 'novel', 'o’farrell’', 'o’farrell’', 'daniel', 'o’farrel', 'perspect', 'heatwav', 'claudett']
187;2;['stauffenberg', 'nina', 'nina', 'flower', 'valentine’', '9pm', 'bbc2', 'sport', 'healey', 'tina']
189;2;['cafferkey', 'cafferkey', 'phe', 'ebola', 'nurs', 'ebola', 'heathrow', 'sierra', 'viru', 'mening']
190;2;['sunscreen', 'spf', '‘onceaday’', 'soltan', 'protect', 'spf50', 'sunblock', 'spf30', 'sunscreen', 'tint']
193;2;['gonzaleztorr', '“untitled”', 'gonzaleztorr', 'candi', 'ault', 'felix', 'artist', 'mirror', 'artist’', 'horn']
195;2;['sow', 'grass', 'carrot', 'seed', 'bean', 'parsley', 'sow', 'yada', 'cow', 'varieti']
196;2;['wodehous', 'wodehous', 'rothschild', 'rothschild', 'bolling', 'prize', 'funni', 'prize', 'pg', 'everyman']
197;2;['tinniswood', 'georgian', 'tinniswood’', 'tinniswood', 'wa', 'hous', 'countri', 'lowther', 'hous', 'interwar']
199;2;['glow', 'glow', 'foundat', 'primer', 'dior', 'maximis', 'lumin', 'teint', 'eclat', 'skin']
200;2;['eln', 'hernández', 'el', 'hernández', 'region', 'mundo', 'colombia', 'peac', 'colombia', 'kidnap']
201;2;['crankshaw', 'burgess', 'burgess', 'literari', 'observerburgess', 'prize', 'crankshaw’', 'maclean', 'observ', 'clockwork']
202;2;['mccann', 'mccann', 'catfish', 'oasi', 'catfish', 'bottlemen', 'soundcheck', 'catfish’', 'ride', '1975’']
203;2;['madden', 'romeo’', 'juliet', 'mercutio', 'tybalt', 'jacobi', 'bambi', 'branagh', 'mercutio', 'torch']
204;2;['springsteen', 'springsteen', 'springsteen’', 'tonight', 'song', 'springsteen’', 'band', '1982’', 'zandt', 'bruce']
205;2;['thalissa', 'naylor’', 'hotten', 'hotten', 'naylor', 'teixeira', 'novel', 'waters’', 'drab', 'kay']
206;2;['wagstaff', 'ada', 'dior', 'crucibl', 'evans’', 'wagstaff’', 'burt’', 'ada’', 'mr', 'dior']
208;2;['haitian', 'haitian', 'cello', 'banjo', 'orlean', 'peze', 'ribot', 'chocol', 'mccalla', 'unmann']
209;2;['bach’', 'bach’', 'prelud', 'onetoapart', 'dancelik', 'instrument', 'continuo', 'mortensen', 'clavierübung', 'nidaro']
